grp_liab,1,2,3,4,5
1,1.0,0.0,0.5,0.25,0.5
2,0.0,1.0,0.0,0.25,0.5
3,0.5,0.0,1.0,0.25,0.5
4,0.25,0.25,0.25,1.0,0.5
5,0.5,0.5,0.5,0.5,1.0
