asset_cat,Min,Max,cc_step,a,b
re_ins_bonds_loans_not_mcr,0,5,7,0.075,0.0
re_ins_bonds_loans_not_mcr,5,10,0,0.042,0.375
re_ins_bonds_loans_not_mcr,5,10,1,0.042,0.375
re_ins_bonds_loans_not_mcr,5,10,2,0.042,0.375
re_ins_bonds_loans_not_mcr,5,10,3,0.042,0.375
re_ins_bonds_loans_not_mcr,5,10,4,0.042,0.375
re_ins_bonds_loans_not_mcr,5,10,5,0.042,0.375
re_ins_bonds_loans_not_mcr,5,10,6,0.042,0.375
re_ins_bonds_loans_not_mcr,5,10,7,0.042,0.375
re_ins_bonds_loans_not_mcr,10,15,0,0.005,0.585
re_ins_bonds_loans_not_mcr,10,15,1,0.005,0.585
re_ins_bonds_loans_not_mcr,10,15,2,0.005,0.585
re_ins_bonds_loans_not_mcr,10,15,3,0.005,0.585
re_ins_bonds_loans_not_mcr,10,15,4,0.005,0.585
re_ins_bonds_loans_not_mcr,10,15,5,0.005,0.585
re_ins_bonds_loans_not_mcr,10,15,6,0.005,0.585
re_ins_bonds_loans_not_mcr,10,15,7,0.005,0.585
re_ins_bonds_loans_not_mcr,15,20,0,0.005,0.61
re_ins_bonds_loans_not_mcr,15,20,1,0.005,0.61
re_ins_bonds_loans_not_mcr,15,20,2,0.005,0.61
re_ins_bonds_loans_not_mcr,15,20,3,0.005,0.61
re_ins_bonds_loans_not_mcr,15,20,4,0.005,0.61
re_ins_bonds_loans_not_mcr,15,20,5,0.005,0.61
re_ins_bonds_loans_not_mcr,15,20,6,0.005,0.61
re_ins_bonds_loans_not_mcr,15,20,7,0.005,0.61
re_ins_bonds_loans_not_mcr,20,Max,0,0.005,0.635
re_ins_bonds_loans_not_mcr,20,Max,1,0.005,0.635
re_ins_bonds_loans_not_mcr,20,Max,2,0.005,0.635
re_ins_bonds_loans_not_mcr,20,Max,3,0.005,0.635
re_ins_bonds_loans_not_mcr,20,Max,4,0.005,0.635
re_ins_bonds_loans_not_mcr,20,Max,5,0.005,0.635
re_ins_bonds_loans_not_mcr,20,Max,6,0.005,0.635
re_ins_bonds_loans_not_mcr,20,Max,7,0.005,0.635
resec,0,Max,0,0.33,
resec,0,Max,1,0.4,
resec,0,Max,2,0.51,
resec,0,Max,3,0.91,
resec,0,Max,4,1.0,
resec,0,Max,5,1.0,
resec,0,Max,6,1.0,
resec,0,Max,7,1.0,
type_1_sec,0,Max,0,0.021,
type_1_sec,0,Max,1,0.03,
type_1_sec,0,Max,2,0.03,
type_1_sec,0,Max,3,0.03,
type_1_sec,0,Max,4,0.82,
type_1_sec,0,Max,5,1.0,
type_1_sec,0,Max,6,1.0,
type_1_sec,0,Max,7,1.0,
type_2_sec,0,Max,0,0.125,
type_2_sec,0,Max,1,0.134,
type_2_sec,0,Max,2,0.166,
type_2_sec,0,Max,3,0.197,
type_2_sec,0,Max,4,0.82,
type_2_sec,0,Max,5,1.0,
type_2_sec,0,Max,6,1.0,
type_2_sec,0,Max,7,1.0,
