cresta_zone,1,2,3,4,5,6,7,8,9
1,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2,0.0,1.0,0.75,0.25,1.0,0.0,0.0,1.0,0.25
3,0.0,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.0
4,0.0,0.25,0.25,1.0,1.0,0.25,0.0,0.0,1.0
5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.75
6,0.0,0.0,0.0,0.25,1.0,1.0,0.25,0.0,0.0
7,0.25,0.0,0.0,0.0,0.0,0.25,1.0,0.25,0.25
8,0.0,1.0,0.0,0.0,1.0,0.0,0.25,1.0,0.5
9,0.0,0.25,0.0,1.0,0.75,0.0,0.25,0.5,1.0
